"V1","V2","V3","V4","V5","V6","V7","V8","V9","N"
"4","6","2","3","2","2","1","2","4",5000
"4","6","3","2","5","2","1","2","4",5000
"6","6","3","1","2","3","1","2","4",5000
"6","3","3","3","5","3","1","2","4",5000
"4","3","3","3","2","2","2","2","4",5000
"6","3","2","2","2","3","2","2","4",5000
"4","3","2","1","2","2","1","4","4",5000
"4","6","2","1","5","2","1","4","4",5000
"6","3","2","2","5","2","1","4","4",5000
"6","3","3","1","2","3","2","4","4",5000
"4","6","2","2","5","3","2","4","4",5000
"6","6","3","3","5","3","2","4","4",5000
"6","3","2","2","2","2","1","2","5",5000
"4","6","3","3","2","3","1","2","5",5000
"4","3","2","1","5","3","1","2","5",5000
"6","3","3","1","5","2","2","2","5",5000
"6","6","2","1","2","3","2","2","5",5000
"4","3","2","2","5","3","2","2","5",5000
"4","3","3","2","2","2","1","4","5",5000
"6","3","3","3","2","2","1","4","5",5000
"4","6","3","2","5","3","1","4","5",5000
"6","6","2","3","2","2","2","4","5",5000
"6","6","3","1","5","2","2","4","5",5000
"4","6","2","3","5","3","2","4","5",5000
"6","6","2","1","5","2","1","2","6",5000
"6","6","2","2","2","3","1","2","6",5000
"4","3","3","3","5","3","1","2","6",5000
"4","6","3","1","2","2","2","2","6",5000
"4","3","2","3","2","2","2","2","6",5000
"6","6","3","2","5","2","2","2","6",5000
"6","3","3","2","2","3","1","4","6",5000
"6","6","2","3","2","3","1","4","6",5000
"4","3","2","1","5","3","1","4","6",5000
"4","6","3","2","2","2","2","4","6",5000
"6","3","2","3","5","2","2","4","6",5000
"4","3","3","1","2","3","2","4","6",5000
